Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SALA:Zone Mean Air Temperature [C](TimeStep),SALA:Zone Operative Temperature [C](TimeStep),JANSO:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSL:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSS:AFN Surface Venting Window or Door Opening Factor [](TimeStep),SALA:AFN Zone Infiltration Air Change Rate [ach](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep)
 01/02  01:10:00,23.36666667,22.60741138,22.40464872,0,0,0,0,0,0
 01/02  01:20:00,23.33333333,22.58058781,22.37640391,0,0,0,0,0,0
 01/02  01:30:00,23.3,22.55370521,22.34906244,0,0,0,0,0,0
 01/02  01:40:00,23.26666667,22.52752996,22.32283746,0,0,0,0,0,0
 01/02  01:50:00,23.23333333,22.50290651,22.29804565,0,0,0,0,0,0
 01/02  02:00:00,23.2,22.47977512,22.27460681,0,0,0,0,0,0
 01/02  02:10:00,23.2,22.45895301,22.252761,0,0,0,0,0,0
 01/02  02:20:00,23.2,22.44143933,22.23335194,0,0,0,0,0,0
 01/02  02:30:00,23.2,22.42583976,22.21554738,0,0,0,0,0,0
 01/02  02:40:00,23.2,22.41070802,22.19845873,0,0,0,0,0,0
 01/02  02:50:00,23.2,22.39634349,22.18248927,0,0,0,0,0,0
 01/02  03:00:00,23.2,22.38257125,22.16691494,0,0,0,0,0,0
 01/02  03:10:00,23.21666667,22.36959186,22.1525239,0,0,0,0,0,0
 01/02  03:20:00,23.23333333,22.3577459,22.13907418,0,0,0,0,0,0
 01/02  03:30:00,23.25,22.34691031,22.12661637,0,0,0,0,0,0
 01/02  03:40:00,23.26666667,22.33684237,22.11503067,0,0,0,0,0,0
 01/02  03:50:00,23.28333333,22.32752915,22.10431907,0,0,0,0,0,0
 01/02  04:00:00,23.3,22.31907474,22.09454557,0,0,0,0,0,0
 01/02  04:10:00,23.26666667,22.31052035,22.084566,0,0,0,0,0,0
 01/02  04:20:00,23.23333333,22.30075208,22.07440914,0,0,0,0,0,0
 01/02  04:30:00,23.2,22.28961202,22.06362197,0,0,0,0,0,0
 01/02  04:40:00,23.16666667,22.27829434,22.05296478,0,0,0,0,0,0
 01/02  04:50:00,23.13333333,22.26786975,22.04356141,0,0,0,0,0,0
 01/02  05:00:00,23.1,22.25777394,22.03424347,0,0,0,0,0,0
 01/02  05:10:00,23.1,22.24865841,22.02588145,0,0,0,0,0,0
 01/02  05:20:00,23.1,22.24150391,22.01871311,0,0,0,0,0,0
 01/02  05:30:00,23.1,22.23631494,22.01279738,0,0,0,0,0,0
 01/02  05:40:00,23.1,22.23203031,22.00760728,0,0,0,0,0,0
 01/02  05:50:00,23.1,22.22743329,22.00214728,0,0,0,0,0,0
 01/02  06:00:00,23.1,22.22308139,21.99727795,0,0,0,0,0,0
 01/02  06:10:00,23.13333333,22.22044434,21.99403207,0,0,0,0,0,0
 01/02  06:20:00,23.16666667,22.23999971,22.01488766,0,0,0,0,0,0
 01/02  06:30:00,23.2,22.26245206,22.0279339,0,0,0,0,0,0
 01/02  06:40:00,23.23333333,22.2893962,22.05901175,0,0,0,0,0,0
 01/02  06:50:00,23.26666667,22.3241916,22.09656661,0,0,0,0,0,0
 01/02  07:00:00,23.3,22.36738353,22.14149156,0,0,0,0,0,0
 01/02  07:10:00,23.43333333,22.41849024,22.19534508,0,0,0,0,0,0
 01/02  07:20:00,23.56666667,22.4788503,22.2570687,0,0,0,0,0,0
 01/02  07:30:00,23.7,22.54837077,22.32698085,0,0,0,0,0,0
 01/02  07:40:00,23.83333333,22.62663312,22.4065427,0,0,0,0,0,0
 01/02  07:50:00,23.96666667,22.71182552,22.49372336,0,0,0,0,0,0
 01/02  08:00:00,24.1,22.80228513,22.58721279,0,0,0,0,0,0
 01/02  08:10:00,24.26666667,22.83882769,22.65742325,0,0,0,0.026622681,0,0
 01/02  08:20:00,24.43333333,22.87849087,22.72969112,0,0,0,0.049323877,0,0
 01/02  08:30:00,24.6,22.94417435,22.81593849,0,0,0,0.079776039,0,0
 01/02  08:40:00,24.76666667,23.04493815,22.92028324,0,0,0,0.097193826,0,0
 01/02  08:50:00,24.93333333,23.1563554,23.03258706,0,0,0,0.124040836,0,0
 01/02  09:00:00,25.1,23.27082045,23.14877449,0,0,0,0.15320398,0,0
 01/02  09:10:00,25.3,23.40350657,23.28592751,0,0,0,0.151523511,0,0
 01/02  09:20:00,25.5,23.54440927,23.42408141,0,0,0,0.149499389,0,0
 01/02  09:30:00,25.7,23.68484842,23.56369688,0,0,0,0.147533115,0,0
 01/02  09:40:00,25.9,23.82345583,23.70373283,0,0,0,0.145191851,0,0
 01/02  09:50:00,26.1,23.96173528,23.84467676,0,0,0,0.142385479,0,0
 01/02  10:00:00,26.3,24.11067403,23.99704995,0,0,0,0.139266244,0,0
 01/02  10:10:00,26.51666667,24.26512877,24.14937516,0,0,0,0.147334615,0,0
 01/02  10:20:00,26.73333333,24.41959631,24.30177393,0,0,0,0.155293569,0,0
 01/02  10:30:00,26.95,24.57250411,24.45326701,0,0,0,0.162977106,0,0
 01/02  10:40:00,27.16666667,24.72692179,24.60586967,0,0,0,0.170613357,0,0
 01/02  10:50:00,27.38333333,24.87641236,24.75125586,0,0,0,0.178590794,0,0
 01/02  11:00:00,27.6,25.0169677,24.88908685,0,0,0,0.186714313,0,0
 01/02  11:10:00,27.78333333,25.14988635,25.02147876,0,0,0,0.196350387,0,0
 01/02  11:20:00,27.96666667,25.27285979,25.14389394,0,0,0,0.204993327,0,0
 01/02  11:30:00,28.15,25.38488167,25.25688887,0,0,0,0.213301615,0,0
 01/02  11:40:00,28.33333333,25.47815983,25.35230578,0,0,0,0.221259873,0,0
 01/02  11:50:00,28.51666667,25.55647018,25.43583951,0,0,0,0.228687758,0,0
 01/02  12:00:00,28.7,25.62778602,25.51194552,0,0,0,0.235674631,0,0
 01/02  12:10:00,28.78333333,25.69674359,25.5821469,0,0,0,0.266629177,0,0
 01/02  12:20:00,28.86666667,25.7658009,25.65033876,0,0,0,0.298143855,0,0
 01/02  12:30:00,28.95,25.84202355,25.72498218,0,0,0,0.330221119,0,0
 01/02  12:40:00,29.03333333,25.92187249,25.79939549,0,0,0,0.362748339,0,0
 01/02  12:50:00,29.11666667,26.0013187,25.87303084,0,0,0,0.395597443,0,0
 01/02  13:00:00,29.2,26.0779266,25.94366974,0,0,0,0.42849929,0,0
 01/02  13:10:00,29.1,26.1312666,25.99884284,0,0,0,0.399504864,0,0
 01/02  13:20:00,29,26.16302731,26.04035723,0,0,0,0.370759939,0,0
 01/02  13:30:00,28.9,26.1823503,26.07092364,0,0,0,0.342297787,0,0
 01/02  13:40:00,28.8,26.19687244,26.09507651,0,0,0,0.314120688,0,0
 01/02  13:50:00,28.7,26.20765576,26.11326787,0,0,0,0.286591592,0,0
 01/02  14:00:00,28.6,26.21297617,26.12489452,0,0,0,0.2598607,0,0
 01/02  14:10:00,28.51666667,23.02839201,24.62181419,0,0,0,0.16136107,0,543155.29
 01/02  14:20:00,28.43333333,23,24.5134652,0,0,0,0.149732199,0,300627.0549
 01/02  14:30:00,28.35,23,24.45915322,0,0,0,0.151450807,0,385569.8
 01/02  14:40:00,28.26666667,23,24.41421273,0,0,0,0.157295735,0,296499.9786
 01/02  14:50:00,28.18333333,23,24.37508953,0,0,0,0.166460838,0,288931.0005
 01/02  15:00:00,28.1,23,24.33264647,0,0,0,0.176349857,0,281962.9661
 01/02  15:10:00,28.06666667,23,24.29661962,0,0,0,0.177024899,0,276111.7932
 01/02  15:20:00,28.03333333,23,24.26210641,0,0,0,0.176479785,0,270704.8707
 01/02  15:30:00,28,23,24.22833159,0,0,0,0.177237874,0,265551.6947
 01/02  15:40:00,27.96666667,23,24.19329914,0,0,0,0.168318221,0,260115.3588
 01/02  15:50:00,27.93333333,23,24.15743179,0,0,0,0.160364166,0,254639.8393
 01/02  16:00:00,27.9,23,24.12057464,0,0,0,0.152990457,0,249118.182
 01/02  16:10:00,27.8,23,24.08916937,0,0,0,0.144020156,0,254554.8581
 01/02  16:20:00,27.7,23,24.05551623,0,0,0,0.140704416,0,249669.0982
 01/02  16:30:00,27.6,23,24.01895288,0,0,0,0.137038041,0,244407.6629
